,YEAR,INST_ID,INST_NAME,INST_STATE,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_NR,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_CLIN_TRIAL,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_NR,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_STA,NC_INST,NC_TFUND,EXP_TOT
38,2017,1040,University of California-Davis,CA,752416,911516,23702,320808,520174,14639,25145,83745,182540,36965,78582,327503,107872,493507,8485984,6808800,339200,11913700,2139145,0,0,0,37382000,0,0,0,0,0,0,67068829,67068829,0,12782000,12782000,726070
39,2017,1041,University of California-Irvine,CA,0,453776,59275,262061,372520,16265,0,37645,221742,48109,75104,0,0,372520,0,308000,0,6172999,18764140,0,0,399755,327703,937298,0,0,18764140,0,0,26909895,26909895,0,0,0,325582
40,2017,1042,University of California-Los Angeles,CA,1005,435098,41033,265088,1118002,37938,0,133485,325304,78778,156866,0,231759,955918,0,4928351,0,1539385,104639166,1390319,0,0,2597256,1055382,0,0,102949988,0,0,116149859,116149859,0,4980000,4980000,1002013
41,2017,1043,University of California-Riverside,CA,343883,224844,0,163748,36423,19630,4943,36456,151624,42048,24279,0,25442,35494,0,0,0,10000000,0,0,0,0,0,0,0,0,0,0,0,10000000,10000000,0,66980000,66980000,147268
42,2017,1044,University of California-San Diego,CA,0,319105,0,548195,907334,16373,0,341326,261855,54388,116544,53843,176640,844510,0,444945,0,400000,1664250,0,0,16883727,484964,1012000,849000,0,1664250,0,0,21738886,21738886,0,121424000,121424000,1079429
43,2017,1045,University of California-San Francisco,CA,0,314900,0,0,1370800,0,0,0,0,0,15900,0,193200,1894800,0,45000000,0,0,90000000,0,0,0,0,0,0,0,135000000,0,3000000,132000000,135000000,0,106700000,106700000,1294261
44,2017,1046,University of California-Santa Barbara,CA,0,154635,19624,196366,1419,8695,27828,73468,171961,40522,92491,0,36872,0,0,1991600,0,939826,0,0,0,1119100,5333203,879580,923500,312000,0,0,0,11498809,11498809,0,820903,820903,219907
45,2017,1047,University of California-Santa Cruz,CA,0,121625,22110,101866,0,9216,0,107262,175061,25971,52689,0,27858,0,0,2418210,0,12900958,0,0,0,4160773,15915001,2300231,1948931,547000,0,0,9577659,30613445,40191104,0,0,0,146237
46,2017,1048,Santa Clara University,CA,0,20000,0,65000,900,4400,2000,0,31500,5000,5000,0,0,0,0,250000,0,250000,0,0,0,0,0,0,0,0,0,0,0,500000,500000,0,0,0,2038
47,2017,1049,University of Southern California,CA,0,237252,84481,144079,219512,658,0,68714,64241,22920,43716,72342,137698,356748,0,8383032,2036068,7841152,0,1946282,0,6059558,1475441,854400,0,0,1188281,0,0,28595933,28595933,0,0,0,662029
48,2017,1050,University of the Pacific,CA,0,2752,1900,17733,8393,4058,0,4253,19205,2355,2777,2140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2289
49,2017,1052,Colorado School of Mines,CO,0,3578,1786,86140,0,729,4956,7162,35300,0,0,0,0,0,0,0,0,1712555,0,0,0,0,0,0,0,0,0,0,1254702,457853,1712555,7175287,18450738,25626025,59576
50,2017,1053,University of Northern Colorado,CO,0,16235,480,0,12415,4536,74,2986,9756,3706,2575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2866
51,2017,1054,"Colorado State University, Fort Collins",CO,131886,203718,6122,273095,270404,4771,89273,64396,108502,12918,8247,11591,34602,0,0,0,0,251810,0,0,0,0,0,0,0,0,0,0,0,251810,251810,4166667,46940833,51107500,323068
52,2017,1055,University of Colorado at Boulder,CO,0,250097,19515,237054,4073,6137,7848,81639,499319,85678,16956,0,17878,0,0,2367799,2254481,16967279,763801,579765,816224,1148785,5944513,684007,0,0,0,0,0,31526654,31526654,5547072,29805010,35352082,433850
53,2017,1056,University of Denver,CO,0,29180,886,30383,0,832,0,3094,30365,18297,7660,0,0,0,0,0,0,266000,0,0,0,0,0,1255000,0,0,0,0,0,1521000,1521000,0,0,0,16858
54,2017,1059,University of Hartford,CT,0,2483,0,27599,5325,0,0,0,3879,1328,0,0,8799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478
55,2017,1060,Wesleyan University,CT,0,27087,2034,0,0,2904,7358,8226,33183,13554,7231,0,0,0,0,722000,0,0,0,0,0,0,1864000,420000,0,0,0,0,0,3006000,3006000,0,0,0,6760
56,2017,1061,Yale University,CT,0,612610,31860,128159,996887,13597,46821,35290,207592,45541,165197,54295,103055,1225685,0,17550421,0,11857927,38899650,0,7525470,1873445,18637319,0,4849679,863771,54043499,0,0,102057682,102057682,0,261336957,261336957,865970
57,2017,1062,Delaware State University,DE,22236,25374,8000,2400,7500,1685,8310,2770,139045,5000,5000,0,620,0,0,350000,0,0,0,0,0,0,0,0,0,0,0,350000,0,0,350000,0,0,0,20384
58,2017,1063,University of Delaware,DE,133255,20291,9191,172360,45397,1457,7499,59769,67354,15241,15882,3340,4409,0,763114,0,0,3029270,3610646,0,0,2997027,539233,0,0,0,0,68792,2594307,8276191,10939290,0,0,0,169384
59,2017,1064,American University,DC,0,7495,110,0,250,1010,5310,0,3357,3565,12075,0,0,0,0,0,0,0,0,0,0,0,904500,0,250000,0,0,0,0,1154500,1154500,0,0,0,28170
60,2017,1065,The Catholic University of America,DC,0,20480,3595,29688,7189,902,0,0,48031,6350,7588,0,0,0,0,0,0,0,381738,0,0,0,618922,0,0,0,0,0,0,1000660,1000660,0,0,0,24360
61,2017,1066,Gallaudet University,DC,0,2340,1068,1038,2183,0,0,604,759,3192,2734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4014
62,2017,1067,George Washington University,DC,0,204851,28701,98326,167034,4214,538,0,72234,3728,10245,0,25316,160495,0,0,0,0,22723000,0,0,0,13445000,350000,0,0,20968000,0,0,36518000,36518000,0,0,0,214984
63,2017,1068,Georgetown University,DC,0,206526,4691,0,245846,5301,0,0,53214,8705,35371,0,0,265000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162734
