,YEAR,INST_ID,INST_NAME,INST_STATE,EXP_TOT,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_NR,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_CLIN_TRIAL,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_NR,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_FED,NC_STA,NC_INST,NC_TFUND
139,2019,1167,Tufts University,MA,197478,0,221887,5550,100583,319604,409,0,6123,43359,15600,575,5089,1833,166389,0,5431511,0,2580000,17663205,0,0,0,3109050,0,0,0,945000,0,0,28783766,28783766,0,0,0,0
140,2019,1168,University of Massachusetts Amherst,MA,193495,91338,122959,39848,189973,49152,2160,25259,19282,103821,53969,9422,0,0,0,4459796,13501942,2429352,4756434,1148211,323440,0,430776,2830803,11141303,316372,0,0,0,0,41338429,41338429,0,0,0,0
141,2019,1169,University of Massachusetts Boston,MA,33865,0,42859,3803,8755,7750,0,0,15028,23564,25276,31659,0,12865,0,0,687612,1223534,2877095,1555892,0,0,0,474746,0,0,0,0,0,3409439,3409440,6818879,0,0,0,0
142,2019,1170,Wellesley College,MA,4896,0,32561,6495,1530,0,961,420,6255,12951,4018,494,0,170,0,0,33706903,11734273,2764194,0,0,487799,10787582,16005492,264473,0,0,0,0,0,75750716,75750716,0,0,0,0
144,2019,1172,Woods Hole Oceanographic Institution,MA,204400,0,60000,6800,79000,0,5000,0,108000,50000,0,2000,0,0,0,0,1375000,700000,2050000,0,260000,0,2350000,728000,0,0,0,0,0,0,7463000,7463000,0,0,0,0
145,2019,1173,Worcester Polytechnic Institute,MA,31477,0,19790,8504,80411,1259,6895,0,0,13991,510,1835,250,0,0,0,0,0,4263000,857500,0,0,0,857500,0,0,0,0,0,0,5978000,5978000,0,0,0,0
146,2019,1174,Calvin University,MI,1793,0,9245,5236,13067,754,428,300,2164,8805,2278,1623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,2019,1175,Central Michigan University,MI,13406,13984,117795,4893,28944,36488,9038,4584,8614,31785,26218,13183,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,2019,1176,Eastern Michigan University,MI,3637,576,9554,2394,8390,4325,1485,0,7289,12944,1265,1622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5780000,5780000
149,2019,1178,Grand Valley State University,MI,6729,0,19307,2380,45688,19446,0,24667,2507,6055,5512,4366,0,0,0,0,0,0,950000,0,0,0,0,0,0,0,0,0,0,0,950000,950000,0,523000,752600,1275600
