,YEAR,INST_ID,INST_NAME,INST_STATE,EXP_TOT,NASF_AG,NASF_BIO,NASF_COS,NASF_ENG,NASF_HLTH,NASF_MATH,NASF_GEO,NASF_PHY,NASF_PSY,NASF_SOC,NASF_OTH,NASF_MED,RR_AG,RR_BIO,RR_COS,RR_ENG,RR_HLTH,RR_MATH,RR_GEO,RR_PHY,RR_PSY,RR_SOC,RR_OTH,RR_MED,RR_FED,RR_STA,RR_INST,RR_TFUND,NC_FED,NC_STA,NC_INST,NC_TFUND
253,2007,1294,Lehigh University,PA,33469,0,26540,100,132744,0,134,11533,34319,6585,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,2007,1297,Saint Joseph's University,PA,3037,0,5138,3100,0,300,0,0,1630,650,0,0,0,0,850000,0,0,0,0,0,0,0,0,0,0,175000,0,675000,850000,0,0,0,0
255,2007,1298,Swarthmore College,PA,2385,0,11091,1314,4390,0,890,0,11504,3342,1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,2007,1299,Temple University,PA,79736,0,74085,25520,4500,166250,4500,10325,49300,16500,3500,0,173000,0,1200000,0,0,15000000,0,0,3700000,0,0,0,0,0,0,19900000,19900000,0,25000000,45000000,70000000
257,2007,1300,University of Pennsylvania,PA,676052,37382,426454,20551,83016,604128,11221,2806,128654,23430,58219,3861,837950,0,0,0,3479000,78188000,0,0,0,0,0,0,32695000,6300000,750000,74617000,81667000,0,0,0,0
258,2007,1302,Brown University,RI,157926,0,201478,14185,60329,40000,15044,24892,51265,27088,16216,0,241478,0,10125000,0,298000,5725000,0,1188000,1771000,0,255000,0,15850000,0,0,19362000,19362000,0,0,0,0
259,2007,1303,University of Rhode Island,RI,70696,74078,42775,1043,35009,3612,28,103927,12843,20909,6836,5868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,9686621,1326000,12512621
260,2007,1304,Benedict College,SC,1314,0,3000,1000,2510,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,2007,1306,Clemson University,SC,179840,158547,93215,10462,257596,0,10888,82093,30148,9090,3442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3370000,6500000,9870000
262,2007,1309,Medical University of South Carolina,SC,176055,0,202086,0,5104,293000,0,0,0,0,0,75155,575345,0,8874125,0,793375,0,0,0,0,0,0,2900000,12567500,631352,500000,11436148,12567500,0,0,0,0
263,2007,1310,South Carolina State University,SC,3796,0,4000,3000,6000,0,800,1500,7000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,2007,1311,South Dakota School of Mines and Technology,SD,12589,0,1999,2279,42941,0,0,3760,18150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,2007,1312,South Dakota State University,SD,33275,130941,24957,0,35043,38814,0,6739,29711,950,0,0,0,0,0,0,0,0,0,710367,0,0,0,0,0,0,0,710367,710367,0,0,0,0
266,2007,1313,The University of South Dakota,SD,22613,0,64517,1259,0,6508,455,4641,28572,8888,553,0,42500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,2007,1314,East Tennessee State University,TN,7943,2710,184219,1100,4769,18295,450,7990,1450,2947,1485,0,190654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1674400,0,145600,1820000
268,2007,1315,Fisk University,TN,6000,0,3200,0,0,0,0,0,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,2007,1316,Meharry Medical College,TN,32878,0,135635,0,0,25821,0,0,0,0,1170,0,162626,0,10000000,0,0,4000000,0,0,0,0,0,0,14000000,14000000,0,0,14000000,0,0,0,0
270,2007,1317,The University of Memphis,TN,43715,0,66866,53786,24237,19511,1019,26666,29009,33323,14089,0,0,0,2283648,0,0,0,0,0,1296759,637724,0,0,0,0,4218131,0,4218131,0,0,0,0
271,2007,1318,Tennessee State University,TN,14096,51350,12480,1300,17000,300,720,0,6950,1000,3200,9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
